timestamp,Impressions,Engagements,ProfileVisits,Follows,Replies,Likes,Retweets,Bookmark,Share,MediaViews,VideoViews
2026-02-22T13:00:00Z,246,5,0,0,0,0,0,0,0,5,0
2026-02-22T14:00:00Z,1070,43,5,0,0,1,0,1,0,19,0
2026-02-22T15:00:00Z,123,5,0,0,0,0,0,0,0,2,0
2026-02-22T16:00:00Z,54,4,0,0,0,0,0,0,0,2,0
2026-02-22T17:00:00Z,62,5,1,0,0,0,0,0,0,4,0
2026-02-22T18:00:00Z,13,0,0,0,0,0,0,0,0,0,0
2026-02-22T19:00:00Z,12,1,0,0,0,0,0,0,0,1,0
2026-02-22T20:00:00Z,16,4,0,1,0,0,0,0,0,2,0
2026-02-22T21:00:00Z,14,0,0,0,0,0,0,0,0,0,0
2026-02-22T22:00:00Z,10,2,0,0,0,0,0,0,0,2,0
2026-02-22T23:00:00Z,18,7,1,0,0,0,0,0,0,0,0
2026-02-23T00:00:00Z,12,1,0,0,0,0,0,0,0,1,0
2026-02-23T01:00:00Z,16,0,0,0,0,0,0,0,0,0,0
2026-02-23T02:00:00Z,11,1,0,0,0,0,0,0,0,1,0
2026-02-23T03:00:00Z,23,1,0,0,0,0,0,0,0,1,0
2026-02-23T04:00:00Z,18,3,1,0,0,0,0,0,0,0,0
2026-02-23T05:00:00Z,22,2,0,0,0,0,0,0,0,2,0
2026-02-23T06:00:00Z,24,8,0,0,0,0,0,0,0,4,0
2026-02-23T07:00:00Z,19,8,1,0,0,0,0,0,0,1,0
2026-02-23T08:00:00Z,22,11,1,0,0,0,0,0,0,4,0
2026-02-23T09:00:00Z,33,6,0,0,0,0,0,0,0,4,0
2026-02-23T10:00:00Z,20,1,0,0,0,0,0,0,0,1,0
2026-02-23T11:00:00Z,18,0,0,0,0,0,0,0,0,0,0
2026-02-23T12:00:00Z,11,0,0,0,0,0,0,0,0,0,0
