timestamp,Impressions,Engagements,ProfileVisits,Follows,Replies,Likes,Retweets,Bookmark,Share,MediaViews,VideoViews
2026-02-18T13:00:00Z,1314,101,3,0,0,0,0,2,0,81,0
2026-02-18T14:00:00Z,236,19,2,0,0,0,0,1,0,9,0
2026-02-18T15:00:00Z,87,7,0,0,0,0,0,0,0,6,0
2026-02-18T16:00:00Z,31,5,0,0,0,0,0,0,0,3,0
2026-02-18T17:00:00Z,57,8,0,0,0,0,0,0,0,4,0
2026-02-18T18:00:00Z,62,9,0,0,0,0,0,0,0,7,0
2026-02-18T19:00:00Z,33,5,0,0,0,0,0,0,0,3,0
2026-02-18T20:00:00Z,23,4,0,0,0,0,0,0,0,2,0
2026-02-18T21:00:00Z,16,2,0,0,0,0,0,0,0,2,0
2026-02-18T22:00:00Z,22,1,0,0,0,0,0,0,0,1,0
2026-02-18T23:00:00Z,18,4,0,0,0,0,0,0,0,4,0
2026-02-19T00:00:00Z,11,1,0,0,0,0,0,0,0,1,0
2026-02-19T01:00:00Z,10,0,0,0,0,0,0,0,0,0,0
2026-02-19T02:00:00Z,11,1,0,0,0,0,0,0,0,1,0
2026-02-19T03:00:00Z,23,0,0,0,0,0,0,0,0,0,0
2026-02-19T04:00:00Z,10,0,0,0,0,0,0,0,0,0,0
2026-02-19T05:00:00Z,10,1,0,0,0,0,0,0,0,1,0
2026-02-19T06:00:00Z,8,0,0,0,0,0,0,0,0,0,0
2026-02-19T07:00:00Z,5,0,0,0,0,0,0,0,0,0,0
2026-02-19T08:00:00Z,4,0,0,0,0,0,0,0,0,0,0
2026-02-19T09:00:00Z,1,0,0,0,0,0,0,0,0,0,0
2026-02-19T10:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-19T11:00:00Z,4,0,0,0,0,0,0,0,0,0,0
2026-02-19T12:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-19T13:00:00Z,4,0,0,0,0,0,0,0,0,0,0
2026-02-19T14:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-19T15:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-19T16:00:00Z,2,0,0,0,0,0,0,0,0,0,0
2026-02-19T17:00:00Z,3,0,0,0,0,0,0,0,0,0,0
2026-02-19T18:00:00Z,1,0,0,0,0,0,0,0,0,0,0
2026-02-19T21:00:00Z,1,0,0,0,0,0,0,0,0,0,0
2026-02-19T22:00:00Z,1,0,0,0,0,0,0,0,0,0,0
