timestamp,Impressions,Engagements,ProfileVisits,Follows,Replies,Likes,Retweets,Bookmark,Share,MediaViews,VideoViews
2026-02-20T13:00:00Z,144,8,1,0,0,0,0,0,0,6,0
2026-02-20T14:00:00Z,351,33,2,0,0,1,1,1,0,25,0
2026-02-20T15:00:00Z,80,18,3,0,0,1,0,1,0,7,0
2026-02-20T16:00:00Z,36,4,0,0,0,0,0,0,0,3,0
2026-02-20T17:00:00Z,45,26,4,0,0,0,0,1,0,13,0
2026-02-20T18:00:00Z,23,8,0,0,0,0,0,0,0,5,0
2026-02-20T19:00:00Z,16,3,1,0,0,0,0,0,0,2,0
2026-02-20T20:00:00Z,17,5,2,0,0,1,0,0,0,0,0
2026-02-20T21:00:00Z,10,1,0,0,0,0,0,0,0,1,0
2026-02-20T22:00:00Z,18,6,0,0,0,0,0,0,0,6,0
2026-02-20T23:00:00Z,10,4,0,0,0,0,0,0,0,1,0
2026-02-21T00:00:00Z,18,6,1,0,0,0,0,0,0,4,0
2026-02-21T01:00:00Z,23,3,1,0,0,0,0,0,0,2,0
2026-02-21T02:00:00Z,21,8,1,0,0,0,0,0,0,3,0
2026-02-21T03:00:00Z,22,5,0,0,0,1,0,0,0,3,0
2026-02-21T04:00:00Z,18,7,1,0,0,0,0,0,0,4,0
2026-02-21T05:00:00Z,15,4,1,0,0,0,0,0,0,2,0
2026-02-21T06:00:00Z,10,2,0,0,0,0,0,0,0,2,0
2026-02-21T07:00:00Z,22,8,0,0,0,0,0,0,0,7,0
2026-02-21T08:00:00Z,11,0,0,0,0,0,0,0,0,0,0
2026-02-21T09:00:00Z,15,2,0,0,0,0,0,0,0,1,0
2026-02-21T10:00:00Z,14,4,0,0,0,0,0,0,0,1,0
2026-02-21T11:00:00Z,19,2,0,0,0,0,0,0,0,2,0
2026-02-21T12:00:00Z,11,1,0,0,0,0,0,0,0,1,0
2026-02-21T13:00:00Z,9,1,0,0,0,0,0,0,0,1,0
2026-02-21T14:00:00Z,10,0,0,0,0,0,0,0,0,0,0
2026-02-21T15:00:00Z,39,3,1,0,0,0,0,0,0,0,0
2026-02-21T16:00:00Z,16,4,1,0,0,0,0,0,0,3,0
2026-02-21T17:00:00Z,14,2,0,0,0,0,0,0,0,1,0
2026-02-21T18:00:00Z,11,0,0,0,0,0,0,0,0,0,0
2026-02-21T19:00:00Z,7,2,0,0,0,0,0,0,0,2,0
2026-02-21T20:00:00Z,4,0,0,0,0,0,0,0,0,0,0
2026-02-21T21:00:00Z,11,5,0,0,0,0,0,0,0,2,0
2026-02-21T22:00:00Z,6,4,1,0,0,0,0,0,0,3,0
2026-02-21T23:00:00Z,7,2,0,0,0,0,0,0,0,2,0
