Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
,,,https://x.com/StreamerHubJP/status/undefined,0,0,0,0,0,0,0,0,0,0,0,0,0
2024808696216420368,"Fri, Feb 20, 2026",パレト銀行強盗が始まる👀 URLから同時視聴してみよう！ https://t.co/R6BNDCSiG5 #NEWTOWN #Dear13ro https://t.co/kmfIh0FvjX,https://x.com/StreamerHubJP/status/2024808696216420368,2498,3,248,2,0,1,0,0,12,30,56,14,0
2024488026660016564,"Thu, Feb 19, 2026",StreamerHubは情報大学生によって個人開発されているサービスです！ 新しい機能追加の要望やバグの報告はDMか以下のフォームで投稿していただけると嬉しいです！！ https://t.co/Xue6opYb3E,https://x.com/StreamerHubJP/status/2024488026660016564,162,1,6,0,0,0,0,0,0,1,4,0,0
2024488023988326712,"Thu, Feb 19, 2026",#どらぽめ マルチビューを使ってどらごん・ぽめらにあんを応援しよう！ https://t.co/EH6lJb5b4f https://t.co/IcmJGVlIMN,https://x.com/StreamerHubJP/status/2024488023988326712,532,3,42,0,0,0,1,0,3,6,9,1,0
2024488020628623509,"Thu, Feb 19, 2026",#SANTACLAWS マルチビューを使ってSANTA C.L.A.W.Sを応援しよう！ https://t.co/nn58IcBTZ0 https://t.co/EHsC8zMpV3,https://x.com/StreamerHubJP/status/2024488020628623509,1521,8,240,5,0,0,1,1,15,33,59,5,0
2024488017105473684,"Thu, Feb 19, 2026",#Persephone マルチビューを使ってPERSEPHONEを応援しよう！ https://t.co/WkHkvx9Sbl https://t.co/AfOXU7yRkw,https://x.com/StreamerHubJP/status/2024488017105473684,875,2,85,4,0,0,1,0,4,12,15,1,0
2024488013812945202,"Thu, Feb 19, 2026",#Dear13ro マルチビューを使ってDear13ro.を応援しよう！ https://t.co/R6BNDCSiG5 https://t.co/TAWnpLOpGk,https://x.com/StreamerHubJP/status/2024488013812945202,2502,4,192,7,0,1,1,0,8,32,67,2,0
2024488010608410741,"Thu, Feb 19, 2026",#AtroceMyrtille マルチビューを使ってatroce myrtilleを応援しよう！ https://t.co/Ei9t0UmnqR https://t.co/IWVwLzxael,https://x.com/StreamerHubJP/status/2024488010608410741,1877,3,260,4,0,0,1,0,8,38,59,4,0
2024488007534055633,"Thu, Feb 19, 2026",NEWTOWNのあなたの応援しているギャングはありますか？ あなたの応援しているギャングをマルチビューで見よう！！ ↓各ギャングはツリーにて！！ #NEWTOWN #NEWTOWNGTA https://t.co/2RuYNdsmQn,https://x.com/StreamerHubJP/status/2024488007534055633,2077,0,99,0,0,0,1,0,6,60,2,2,0
2024106859838214621,"Wed, Feb 18, 2026",客船強盗が始まる！！ #NEWTOWN #Dear13ro https://t.co/2RTrvfnqOu https://t.co/pJwYniKzn7,https://x.com/StreamerHubJP/status/2024106859838214621,2060,0,173,3,0,0,0,0,5,10,19,12,0
