Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2026301074609737838,"Tue, Feb 24, 2026",Dear13roがついにパシフィック銀行へ🔥 今日は一人のメンバーがお休みに入る特別な一戦。師弟13人が揃う今夜をマルチビューで追おう！！ お気をつけてええええええええええ！！ https://t.co/2RTrvfnYE2 #Dear13ro #NEWTOWN https://t.co/wsLSkKB9hE,https://x.com/StreamerHubJP/status/2026301074609737838,2282,3,297,1,0,0,0,0,14,9,34,21,0
2026299155778580876,"Tue, Feb 24, 2026",#NEWTOWN 今日は最終週のこともあり犯罪が多そう... マルチビューから警察の連携を見てNEWTOWNの安全を守る姿を見守ろう👀 （警察官の人数が多いためデバイスによっては正しく表示されないかもしれません） https://t.co/4nOkB4koN7,https://x.com/StreamerHubJP/status/2026299155778580876,1291,0,16,0,0,0,0,0,1,4,3,8,0
2026295880190718071,"Tue, Feb 24, 2026",PERSEPHONEが犯罪実行中！ URLから犯罪を見守ろう！👀 #NEWTOWN #PERSEPHONE https://t.co/WkHkvx9Sbl https://t.co/1ROLOeqw9h,https://x.com/StreamerHubJP/status/2026295880190718071,770,2,48,0,0,0,0,0,2,2,1,2,0
2026289824039399644,"Tue, Feb 24, 2026",AtroceMyrtilleが犯罪中！ URLからマルチビューを見て犯罪達成を見守ろう👀 https://t.co/Ei9t0UmnqR #AtroceMyrtille #NEWTOWN https://t.co/p8KvP4Nzqv,https://x.com/StreamerHubJP/status/2026289824039399644,1142,0,57,1,0,0,0,0,6,11,9,0,0
2026282526520775149,"Tue, Feb 24, 2026",AtroceMyrtilleが犯罪準備中！ URLからマルチビューを見て犯罪達成を見守ろう👀 https://t.co/Ei9t0UmnqR #AtroceMyrtille #NEWTOWN https://t.co/9MhqzP1jEr,https://x.com/StreamerHubJP/status/2026282526520775149,1029,0,50,0,0,0,0,0,3,7,9,0,0
2026231928198946937,"Tue, Feb 24, 2026",#NEWTOWN 今日も始まりました！！ 今週が最終週であることも踏まえて先週よりも応援に気合を入れていきましょう！！！ #StreamerHub でのマルチビューにてURL追加不要で色々なグループの配信を見ることができます 以下をチェック👀 https://t.co/2RTrvfnYE2,https://x.com/StreamerHubJP/status/2026231928198946937,291,0,4,0,0,0,0,0,0,2,0,2,0
2025992425341325641,"Mon, Feb 23, 2026",ところで初心者女子4人はどう誘われたの？【家入ポポ/飛良ひかり/山黒音玄/赤彩みあ/切り抜き/NEWTOWN】 https://t.co/Of86fV4cOz @YouTubeより,https://x.com/StreamerHubJP/status/2025992425341325641,2372,1,14,1,0,0,0,0,1,3,8,0,0
2025941423103807758,"Mon, Feb 23, 2026",マルチビューって使ったことある？ 1画面でDear13ro・AtroceMyrtille・Santa・Persephoneを全部同時に見られる。 NEWTOWNがあるときの見方が変わる👀 #NEWTOWN https://t.co/2RTrvfnYE2,https://x.com/StreamerHubJP/status/2025941423103807758,701,0,12,0,0,0,0,0,2,3,6,1,0
2025570342979445088,"Sun, Feb 22, 2026",犯罪実行中！！ URLからatroce myrtilleを応援しよう👀 https://t.co/Ei9t0UmnqR #AtroceMyrtille #NEWTOWN https://t.co/p4T6w6jXox,https://x.com/StreamerHubJP/status/2025570342979445088,2297,2,179,2,0,1,0,0,18,26,39,3,0
2025241647748165763,"Sat, Feb 21, 2026",[修正報告] SANTA C.L.A.W.Sの坂本こんさんが配信中でもマルチビューにて表示されない問題を修正しました。 #StreamerHub,https://x.com/StreamerHubJP/status/2025241647748165763,99,0,5,1,0,0,0,0,0,4,0,1,0
